KÛd ADM;KÛd obce;N·zev obce;N·zev MOMC;N·zev MOP;KÛd Ë·sti obce;N·zev Ë·sti obce;N·zev ulice;Typ SO;»Ìslo domovnÌ;»Ìslo orientaËnÌ;Znak ËÌsla orientaËnÌho;PS»;Sou¯adnice Y;Sou¯adnice X;PlatÌ Od
6011250;533017;Unhoöù;;;174491;Unhoöù;t¯. Dr. Beneöe;Ë.p.;1;;;27351;763441.41;1040364.73;2013-12-05T00:00:00
6011268;533017;Unhoöù;;;174491;Unhoöù;t¯. Dr. Beneöe;Ë.p.;2;;;27351;763427.31;1040368.56;2013-12-05T00:00:00
6011276;533017;Unhoöù;;;174491;Unhoöù;t¯. Dr. Beneöe;Ë.p.;3;;;27351;763411.09;1040367.37;2013-12-05T00:00:00
6011284;533017;Unhoöù;;;174491;Unhoöù;Suchoml˝nsk·;Ë.p.;4;;;27351;766114.50;1041841.55;2013-12-05T00:00:00
6011292;533017;Unhoöù;;;174491;Unhoöù;t¯. Dr. Beneöe;Ë.p.;5;;;27351;763383.14;1040350.06;2013-12-05T00:00:00
6011306;533017;Unhoöù;;;174491;Unhoöù;Na BÌlÈ pÏöinÏ;Ë.p.;6;;;27351;763604.36;1040008.28;2013-12-05T00:00:00
6011314;533017;Unhoöù;;;174491;Unhoöù;Lidick·;Ë.p.;7;;;27351;763352.69;1040351.38;2013-12-05T00:00:00
6011322;533017;Unhoöù;;;174491;Unhoöù;Lidick·;Ë.p.;8;;;27351;763324.95;1040322.79;2013-12-05T00:00:00
6011331;533017;Unhoöù;;;174491;Unhoöù;Lidick·;Ë.p.;9;;;27351;763326.40;1040280.53;2013-12-05T00:00:00
6011349;533017;Unhoöù;;;174491;Unhoöù;Lidick·;Ë.p.;10;;;27351;763329.83;1040263.54;2013-12-05T00:00:00
6011357;533017;Unhoöù;;;174491;Unhoöù;K¯ivokl·tsk·;Ë.p.;11;;;27351;764170.49;1040313.71;2013-12-05T00:00:00
6011365;533017;Unhoöù;;;174491;Unhoöù;Lidick·;Ë.p.;12;;;27351;763197.82;1039901.47;2013-12-05T00:00:00
6011373;533017;Unhoöù;;;174491;Unhoöù;Nerudova;Ë.p.;13;;;27351;763186.42;1040102.32;2013-12-05T00:00:00
6011381;533017;Unhoöù;;;174491;Unhoöù;Nerudova;Ë.p.;14;;;27351;763177.85;1040103.64;2013-12-05T00:00:00
6011390;533017;Unhoöù;;;174491;Unhoöù;;Ë.p.;15;;;27351;762667.26;1038697.98;2013-12-05T00:00:00
6011403;533017;Unhoöù;;;174491;Unhoöù;;Ë.p.;16;;;27351;762666.62;1038708.55;2013-12-05T00:00:00
6011411;533017;Unhoöù;;;174491;Unhoöù;;Ë.p.;17;;;27351;764613.23;1040777.01;2014-08-14T00:00:00
6011420;533017;Unhoöù;;;174491;Unhoöù;;Ë.p.;18;;;27351;762682.30;1038750.48;2013-12-05T00:00:00
6011438;533017;Unhoöù;;;174491;Unhoöù;;Ë.p.;19;;;27351;762674.12;1038726.94;2013-12-05T00:00:00
6011446;533017;Unhoöù;;;174491;Unhoöù;Karlovarsk·;Ë.p.;23;;;27351;763813.21;1040176.66;2013-12-05T00:00:00
6011462;533017;Unhoöù;;;174491;Unhoöù;V Topolech;Ë.p.;25;;;27351;762869.79;1040684.82;2013-12-05T00:00:00
6011471;533017;Unhoöù;;;174491;Unhoöù;Praûsk·;Ë.p.;26;;;27351;763207.01;1040419.97;2013-12-05T00:00:00
6011489;533017;Unhoöù;;;174491;Unhoöù;Pivovarsk·;Ë.p.;27;;;27351;763207.25;1040488.71;2013-12-05T00:00:00
6011497;533017;Unhoöù;;;174491;Unhoöù;Pivovarsk·;Ë.p.;28;;;27351;763208.31;1040506.95;2013-12-05T00:00:00
6011501;533017;Unhoöù;;;174491;Unhoöù;Pivovarsk·;Ë.p.;29;;;27351;763203.96;1040525.33;2013-12-05T00:00:00
6011519;533017;Unhoöù;;;174491;Unhoöù;Na Koûeluûce;Ë.p.;30;;;27351;763237.44;1040542.63;2013-12-05T00:00:00
6011527;533017;Unhoöù;;;174491;Unhoöù;Na Trûiöti;Ë.p.;31;;;27351;763693.45;1040628.31;2013-12-05T00:00:00
6011535;533017;Unhoöù;;;174491;Unhoöù;Suchoml˝nsk·;Ë.p.;32;;;27351;765758.05;1041774.94;2013-12-05T00:00:00
6011543;533017;Unhoöù;;;174491;Unhoöù;Praûsk·;Ë.p.;33;;;27351;763243.39;1040425.92;2013-12-05T00:00:00
6011551;533017;Unhoöù;;;174491;Unhoöù;Praûsk·;Ë.p.;34;;;27351;763265.67;1040420.24;2013-12-05T00:00:00
6011578;533017;Unhoöù;;;174491;Unhoöù;V·clavskÈ n·m.;Ë.p.;36;;;27351;763325.26;1040423.14;2013-12-05T00:00:00
6011586;533017;Unhoöù;;;174491;Unhoöù;V·clavskÈ n·m.;Ë.p.;37;;;27351;763329.88;1040441.12;2013-12-05T00:00:00
6011594;533017;Unhoöù;;;174491;Unhoöù;V·clavskÈ n·m.;Ë.p.;38;;;27351;763330.41;1040457.77;2013-12-05T00:00:00
6011608;533017;Unhoöù;;;174491;Unhoöù;V·clavskÈ n·m.;Ë.p.;39;;;27351;763330.26;1040469.15;2013-12-05T00:00:00
6011616;533017;Unhoöù;;;174491;Unhoöù;Hlubok·;Ë.p.;40;;;27351;763860.18;1039869.99;2013-12-05T00:00:00
6011624;533017;Unhoöù;;;174491;Unhoöù;V·clavskÈ n·m.;Ë.p.;41;;;27351;763319.09;1040496.13;2013-12-05T00:00:00
6011632;533017;Unhoöù;;;174491;Unhoöù;Praûsk·;Ë.p.;42;;;27351;762957.01;1040413.56;2013-12-05T00:00:00
6011641;533017;Unhoöù;;;174491;Unhoöù;V·clavskÈ n·m.;Ë.p.;43;;;27351;763335.08;1040516.61;2013-12-05T00:00:00
6011659;533017;Unhoöù;;;174491;Unhoöù;V·clavskÈ n·m.;Ë.p.;44;;;27351;763356.62;1040518.18;2013-12-05T00:00:00
6011667;533017;Unhoöù;;;174491;Unhoöù;Praûsk·;Ë.p.;45;;;27351;762923.32;1040411.93;2013-12-05T00:00:00
6011675;533017;Unhoöù;;;174491;Unhoöù;H·jeck·;Ë.p.;46;;;27351;763357.41;1040548.18;2013-12-05T00:00:00
6011683;533017;Unhoöù;;;174491;Unhoöù;SpojovacÌ;Ë.p.;47;;;27351;763389.70;1040527.87;2013-12-05T00:00:00
6011691;533017;Unhoöù;;;174491;Unhoöù;V·clavskÈ n·m.;Ë.p.;49;;;27351;763389.60;1040453.94;2013-12-05T00:00:00
6011705;533017;Unhoöù;;;174491;Unhoöù;V·clavskÈ n·m.;Ë.p.;50;;;27351;763388.28;1040441.38;2013-12-05T00:00:00
6011713;533017;Unhoöù;;;174491;Unhoöù;t¯. Dr. Beneöe;Ë.p.;51;;;27351;763396.32;1040417.86;2013-12-05T00:00:00
6011721;533017;Unhoöù;;;174491;Unhoöù;t¯. Dr. Beneöe;Ë.p.;52;;;27351;763411.35;1040405.70;2013-12-05T00:00:00
6011748;533017;Unhoöù;;;174491;Unhoöù;n·m. T. G. Masaryka;Ë.p.;54;;;27351;763466.33;1040394.86;2013-12-05T00:00:00
6011756;533017;Unhoöù;;;174491;Unhoöù;Pod Masn˝mi kr·my;Ë.p.;55;;;27351;763478.97;1040470.87;2013-12-05T00:00:00
6011764;533017;Unhoöù;;;174491;Unhoöù;n·m. T. G. Masaryka;Ë.p.;56;;;27351;763491.77;1040384.82;2013-12-05T00:00:00
6011772;533017;Unhoöù;;;174491;Unhoöù;n·m. T. G. Masaryka;Ë.p.;57;;;27351;763504.56;1040386.14;2013-12-05T00:00:00
6011781;533017;Unhoöù;;;174491;Unhoöù;n·m. T. G. Masaryka;Ë.p.;58;;;27351;763516.69;1040396.58;2013-12-05T00:00:00
6011799;533017;Unhoöù;;;174491;Unhoöù;Nouzovsk·;Ë.p.;59;;;27351;763974.97;1040823.19;2013-12-05T00:00:00
6011802;533017;Unhoöù;;;174491;Unhoöù;Melicharova;Ë.p.;60;;;27351;763561.25;1040425.39;2013-12-05T00:00:00
6011811;533017;Unhoöù;;;174491;Unhoöù;Melicharova;Ë.p.;61;;;27351;763578.79;1040425.00;2013-12-05T00:00:00
6011829;533017;Unhoöù;;;174491;Unhoöù;Melicharova;Ë.p.;62;;;27351;763607.66;1040436.36;2013-12-05T00:00:00
6011837;533017;Unhoöù;;;174491;Unhoöù;Melicharova;Ë.p.;63;;;27351;763620.05;1040442.57;2013-12-05T00:00:00
6011845;533017;Unhoöù;;;174491;Unhoöù;ätef·nikova;Ë.p.;64;;;27351;764132.91;1040277.36;2013-12-05T00:00:00
6011853;533017;Unhoöù;;;174491;Unhoöù;Melicharova;Ë.p.;65;;;27351;763662.63;1040460.68;2013-12-05T00:00:00
6011861;533017;Unhoöù;;;174491;Unhoöù;Melicharova;Ë.p.;66;;;27351;763629.28;1040421.16;2013-12-05T00:00:00
6011870;533017;Unhoöù;;;174491;Unhoöù;Melicharova;Ë.p.;67;;;27351;763606.73;1040414.82;2013-12-05T00:00:00
