Kód ADM;Kód obce;Název obce;Název MOMC;Název MOP;Kód èásti obce;Název èásti obce;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
21328803;539058;Zdiby;;;192392;Brnky;Na Návsi;è.p.;1;;;25066;742506.48;1035293.04;2013-12-07T00:00:00
21328811;539058;Zdiby;;;192392;Brnky;Na Sadì;è.p.;2;;;25066;742717.01;1035266.27;2013-12-07T00:00:00
21328838;539058;Zdiby;;;192392;Brnky;U Kovárny;è.p.;4;;;25066;742590.05;1035098.95;2013-12-07T00:00:00
21328846;539058;Zdiby;;;192392;Brnky;Sedlecká cesta;è.p.;5;;;25066;742602.10;1035253.46;2013-12-07T00:00:00
21328854;539058;Zdiby;;;192392;Brnky;Sedlecká cesta;è.p.;6;;;25066;742658.46;1035325.18;2013-12-07T00:00:00
21328862;539058;Zdiby;;;192392;Brnky;Sedlecká cesta;è.p.;7;;;25066;743014.02;1035779.63;2013-12-07T00:00:00
21328889;539058;Zdiby;;;192392;Brnky;Na Návsi;è.p.;9;;;25066;742581.72;1035153.42;2013-12-07T00:00:00
21328927;539058;Zdiby;;;192392;Brnky;Na Návsi;è.p.;13;;;25066;742610.00;1035213.63;2013-12-07T00:00:00
21328935;539058;Zdiby;;;192392;Brnky;Bojínková;è.p.;14;;;25066;742972.40;1035681.18;2013-12-07T00:00:00
21328943;539058;Zdiby;;;192392;Brnky;Nad Hájem;è.p.;15;;;25066;741434.52;1035232.38;2013-12-07T00:00:00
21328951;539058;Zdiby;;;192392;Brnky;Na Návsi;è.p.;16;;;25066;742218.00;1035121.88;2013-12-07T00:00:00
21328960;539058;Zdiby;;;192392;Brnky;Nábøežní;è.p.;17;;;25066;742946.89;1034933.10;2013-12-07T00:00:00
21328978;539058;Zdiby;;;192392;Brnky;Pøemyšlenská;è.p.;18;;;25066;742304.89;1035166.27;2013-12-07T00:00:00
