Kуd ADM;Kуd obce;Nбzev obce;Nбzev MOMC;Nбzev MOP;Kуd ибsti obce;Nбzev ибsti obce;Nбzev ulice;Typ SO;Инslo domovnн;Инslo orientaиnн;Znak инsla orientaиnнho;PSИ;Souшadnice Y;Souшadnice X;Platн Od
6266185;539180;Dobшни;;;27766;Dobшни;;и.p.;1;;;25225;755235.22;1048879.42;2013-12-04T00:00:00
6266193;539180;Dobшни;;;27766;Dobшни;;и.p.;2;;;25225;755137.63;1048996.50;2013-12-04T00:00:00
6266207;539180;Dobшни;;;27766;Dobшни;;и.p.;3;;;25225;755225.25;1049012.63;2013-12-04T00:00:00
6266215;539180;Dobшни;;;27766;Dobшни;;и.p.;4;;;25225;755296.81;1048976.25;2013-12-04T00:00:00
6266223;539180;Dobшни;;;27766;Dobшни;;и.p.;5;;;25225;755346.56;1048956.13;2013-12-04T00:00:00
6266231;539180;Dobшни;;;27766;Dobшни;;и.p.;6;;;25225;755369.69;1048954.50;2013-12-04T00:00:00
6266240;539180;Dobшни;;;27766;Dobшни;;и.p.;7;;;25225;755253.81;1048966.00;2013-12-04T00:00:00
6266258;539180;Dobшни;;;27766;Dobшни;;и.p.;8;;;25225;755260.56;1048953.50;2013-12-04T00:00:00
6266266;539180;Dobшни;;;27766;Dobшни;;и.p.;9;;;25225;755387.69;1048931.38;2013-12-04T00:00:00
6266274;539180;Dobшни;;;27766;Dobшни;;и.p.;10;;;25225;755384.13;1048886.13;2013-12-04T00:00:00
6266282;539180;Dobшни;;;27766;Dobшни;;и.p.;11;;;25225;755429.06;1048894.75;2013-12-04T00:00:00
6266291;539180;Dobшни;;;27766;Dobшни;;и.p.;12;;;25225;755426.81;1048905.75;2013-12-04T00:00:00
6266304;539180;Dobшни;;;27766;Dobшни;;и.p.;13;;;25225;755425.88;1048928.75;2013-12-04T00:00:00
6266312;539180;Dobшни;;;27766;Dobшни;;и.p.;14;;;25225;755274.38;1048598.13;2013-12-04T00:00:00
6266321;539180;Dobшни;;;27766;Dobшни;;и.p.;15;;;25225;755449.94;1048881.88;2013-12-04T00:00:00
6266339;539180;Dobшни;;;27766;Dobшни;;и.p.;16;;;25225;755365.50;1048899.25;2013-12-04T00:00:00
6266347;539180;Dobшни;;;27766;Dobшни;;и.p.;17;;;25225;755371.31;1048834.75;2013-12-04T00:00:00
6266355;539180;Dobшни;;;27766;Dobшни;;и.p.;18;;;25225;755382.50;1048819.38;2013-12-04T00:00:00
6266363;539180;Dobшни;;;27766;Dobшни;;и.p.;19;;;25225;755131.81;1049087.75;2013-12-04T00:00:00
6266371;539180;Dobшни;;;27766;Dobшни;;и.p.;20;;;25225;755317.06;1048862.38;2013-12-04T00:00:00
6266380;539180;Dobшни;;;27766;Dobшни;;и.p.;21;;;25225;755343.69;1048846.25;2013-12-04T00:00:00
6266398;539180;Dobшни;;;27766;Dobшни;;и.p.;22;;;25225;755344.00;1048833.75;2013-12-04T00:00:00
6266401;539180;Dobшни;;;27766;Dobшни;;и.p.;23;;;25225;755346.88;1048815.50;2013-12-04T00:00:00
6266410;539180;Dobшни;;;27766;Dobшни;;и.p.;24;;;25225;755348.81;1048798.75;2013-12-04T00:00:00
6266428;539180;Dobшни;;;27766;Dobшни;;и.p.;25;;;25225;755500.00;1048777.25;2013-12-04T00:00:00
6266436;539180;Dobшни;;;27766;Dobшни;;и.p.;26;;;25225;755358.75;1048783.75;2013-12-04T00:00:00
6266444;539180;Dobшни;;;27766;Dobшни;;и.p.;27;;;25225;755363.13;1048764.75;2013-12-04T00:00:00
6266461;539180;Dobшни;;;27766;Dobшни;;и.p.;29;;;25225;755232.44;1048584.11;2016-04-28T00:00:00
6266479;539180;Dobшни;;;27766;Dobшни;;и.p.;30;;;25225;755317.93;1048978.77;2013-12-04T00:00:00
6266487;539180;Dobшни;;;27766;Dobшни;;и.p.;31;;;25225;755402.19;1048791.63;2013-12-04T00:00:00
6266495;539180;Dobшни;;;27766;Dobшни;;и.p.;32;;;25225;755384.44;1048794.63;2013-12-04T00:00:00
6266509;539180;Dobшни;;;27766;Dobшни;;и.p.;33;;;25225;755362.63;1048775.63;2013-12-04T00:00:00
6266517;539180;Dobшни;;;27766;Dobшни;;и.p.;34;;;25225;755374.69;1048741.75;2013-12-04T00:00:00
6266525;539180;Dobшни;;;27766;Dobшни;;и.p.;35;;;25225;755367.13;1048731.13;2013-12-04T00:00:00
6266533;539180;Dobшни;;;27766;Dobшни;;и.p.;36;;;25225;755335.31;1048875.88;2013-12-04T00:00:00
6266541;539180;Dobшни;;;27766;Dobшни;;и.p.;37;;;25225;755369.63;1048853.63;2013-12-04T00:00:00
6266550;539180;Dobшни;;;27766;Dobшни;;и.p.;38;;;25225;755179.00;1049054.00;2013-12-04T00:00:00
6266568;539180;Dobшни;;;27766;Dobшни;;и.p.;39;;;25225;755194.13;1049046.00;2013-12-04T00:00:00
6266576;539180;Dobшни;;;27766;Dobшни;;и.p.;40;;;25225;755198.25;1049026.75;2013-12-04T00:00:00
6266592;539180;Dobшни;;;27766;Dobшни;;и.p.;42;;;25225;755391.81;1048758.38;2013-12-04T00:00:00
6266606;539180;Dobшни;;;27766;Dobшни;;и.p.;43;;;25225;755395.69;1048746.75;2013-12-04T00:00:00
6266614;539180;Dobшни;;;27766;Dobшни;;и.p.;44;;;25225;755411.02;1048737.86;2013-12-04T00:00:00
6266622;539180;Dobшни;;;27766;Dobшни;;и.p.;45;;;25225;755363.94;1048914.38;2013-12-04T00:00:00
6266631;539180;Dobшни;;;27766;Dobшни;;и.p.;46;;;25225;755354.38;1048920.75;2013-12-04T00:00:00
6266649;539180;Dobшни;;;27766;Dobшни;;и.p.;47;;;25225;755429.38;1048744.25;2013-12-04T00:00:00
6266657;539180;Dobшни;;;27766;Dobшни;;и.p.;48;;;25225;755467.25;1048751.00;2013-12-04T00:00:00
6266665;539180;Dobшни;;;27766;Dobшни;;и.p.;49;;;25225;755489.13;1048759.00;2013-12-04T00:00:00
6266673;539180;Dobшни;;;27766;Dobшни;;и.p.;50;;;25225;755501.00;1048762.88;2013-12-04T00:00:00
6266681;539180;Dobшни;;;27766;Dobшни;;и.p.;51;;;25225;755372.25;1048932.38;2013-12-04T00:00:00
6266690;539180;Dobшни;;;27766;Dobшни;;и.p.;52;;;25225;755448.00;1048807.13;2013-12-04T00:00:00
6266703;539180;Dobшни;;;27766;Dobшни;;и.p.;53;;;25225;755453.81;1048787.25;2013-12-04T00:00:00
6266711;539180;Dobшни;;;27766;Dobшни;;и.p.;54;;;25225;755441.25;1048764.50;2013-12-04T00:00:00
6266720;539180;Dobшни;;;27766;Dobшни;;и.p.;55;;;25225;755437.44;1048778.88;2013-12-04T00:00:00
6266738;539180;Dobшни;;;27766;Dobшни;;и.p.;56;;;25225;755431.31;1048800.38;2013-12-04T00:00:00
6266746;539180;Dobшни;;;27766;Dobшни;;и.p.;57;;;25225;755077.88;1049129.38;2013-12-04T00:00:00
6266754;539180;Dobшни;;;27766;Dobшни;;и.p.;58;;;25225;755434.88;1048787.50;2013-12-04T00:00:00
6266762;539180;Dobшни;;;27766;Dobшни;;и.p.;59;;;25225;755384.75;1048702.50;2013-12-04T00:00:00
6266771;539180;Dobшни;;;27766;Dobшни;;и.p.;60;;;25225;755390.56;1048663.00;2013-12-04T00:00:00
6266789;539180;Dobшни;;;27766;Dobшни;;и.p.;61;;;25225;755343.69;1048695.38;2013-12-04T00:00:00
6266797;539180;Dobшни;;;27766;Dobшни;;и.p.;62;;;25225;755331.50;1048684.50;2013-12-04T00:00:00
6266801;539180;Dobшни;;;27766;Dobшни;;и.p.;63;;;25225;755314.50;1048687.75;2013-12-04T00:00:00
6266819;539180;Dobшни;;;27766;Dobшни;;и.p.;64;;;25225;755302.25;1048677.75;2013-12-04T00:00:00
6266827;539180;Dobшни;;;27766;Dobшни;;и.p.;65;;;25225;755285.94;1048680.63;2013-12-04T00:00:00
6266835;539180;Dobшни;;;27766;Dobшни;;и.p.;66;;;25225;755272.44;1048677.13;2013-12-04T00:00:00
6266843;539180;Dobшни;;;27766;Dobшни;;и.p.;67;;;25225;755247.38;1048673.00;2013-12-04T00:00:00
6266851;539180;Dobшни;;;27766;Dobшни;;и.p.;68;;;25225;755353.31;1048645.38;2013-12-04T00:00:00
6266860;539180;Dobшни;;;27766;Dobшни;;и.p.;69;;;25225;755338.56;1048642.75;2013-12-04T00:00:00
6266878;539180;Dobшни;;;27766;Dobшни;;и.p.;70;;;25225;755265.19;1048702.25;2013-12-04T00:00:00
6266886;539180;Dobшни;;;27766;Dobшни;;и.p.;71;;;25225;755328.31;1048646.00;2013-12-04T00:00:00
6266894;539180;Dobшни;;;27766;Dobшни;;и.p.;72;;;25225;755314.81;1048637.63;2013-12-04T00:00:00
6266908;539180;Dobшни;;;27766;Dobшни;;и.p.;73;;;25225;755299.06;1048634.75;2013-12-04T00:00:00
6266916;539180;Dobшни;;;27766;Dobшни;;и.p.;74;;;25225;755282.06;1048628.38;2013-12-04T00:00:00
