Kףd ADM;Kףd obce;Nבzev obce;Nבzev MOMC;Nבzev MOP;Kףd טבsti obce;Nבzev טבsti obce;Nבzev ulice;Typ SO;ָםslo domovnם;ָםslo orientaטnם;Znak טםsla orientaטnםho;PSָ;Souרadnice Y;Souרadnice X;Platם Od
2744392;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;1;;;67501;642325.88;1155204.03;2013-12-05T00:00:00
2744406;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;2;;;67501;642301.77;1155270.42;2013-12-05T00:00:00
2744422;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;4;;;67501;642276.53;1155324.71;2013-12-05T00:00:00
2744431;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;5;;;67501;642304.19;1155311.58;2013-12-05T00:00:00
2744449;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;6;;;67501;642308.45;1155358.17;2013-12-05T00:00:00
2744457;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;7;;;67501;642288.19;1155421.96;2013-12-05T00:00:00
2744465;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;8;;;67501;642241.66;1155299.55;2013-12-05T00:00:00
2744473;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;9;;;67501;642246.69;1155359.43;2013-12-05T00:00:00
2744481;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;10;;;67501;642214.57;1155316.76;2013-12-05T00:00:00
2744490;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;11;;;67501;642223.61;1155273.51;2013-12-05T00:00:00
2744503;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;12;;;67501;642118.48;1155296.70;2013-12-05T00:00:00
2744511;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;13;;;67501;642168.91;1155218.46;2013-12-05T00:00:00
2744520;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;14;;;67501;642222.08;1155225.44;2013-12-05T00:00:00
2744538;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;15;;;67501;642246.78;1155201.12;2013-12-05T00:00:00
2744546;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;16;;;67501;642273.57;1155206.03;2013-12-05T00:00:00
2744554;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;17;;;67501;642411.49;1155115.25;2013-12-05T00:00:00
2744562;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;18;;;67501;642338.15;1155366.50;2013-12-05T00:00:00
2744571;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;19;;;67501;642235.84;1155316.45;2013-12-05T00:00:00
2744589;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;20;;;67501;642308.24;1155177.28;2013-12-05T00:00:00
2744597;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;21;;;67501;642208.28;1155299.06;2013-12-05T00:00:00
2744601;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;22;;;67501;642280.55;1155295.48;2013-12-05T00:00:00
2744619;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;23;;;67501;642187.79;1155296.47;2013-12-05T00:00:00
2744627;590509;ָםmלר;;;23892;ָםmלר;;ט.p.;24;;;67501;642188.70;1155258.26;2013-12-05T00:00:00
