Kуd ADM;Kуd obce;Nбzev obce;Nбzev MOMC;Nбzev MOP;Kуd ибsti obce;Nбzev ибsti obce;Nбzev ulice;Typ SO;»нslo domovnн;»нslo orientaиnн;Znak инsla orientaиnнho;PS»;Souшadnice Y;Souшadnice X;Platн Od
417491;593401;Nemotice;;;103250;Nemotice;;и.p.;1;;;68333;561348.60;1171822.79;2013-12-04T00:00:00
417505;593401;Nemotice;;;103250;Nemotice;;и.p.;2;;;68333;561379.75;1171851.40;2013-12-04T00:00:00
417513;593401;Nemotice;;;103250;Nemotice;;и.p.;3;;;68333;561388.85;1171866.30;2013-12-04T00:00:00
417521;593401;Nemotice;;;103250;Nemotice;;и.p.;4;;;68333;561411.57;1171898.09;2013-12-04T00:00:00
417530;593401;Nemotice;;;103250;Nemotice;;и.p.;5;;;68333;561359.95;1171938.34;2013-12-04T00:00:00
417548;593401;Nemotice;;;103250;Nemotice;;и.p.;6;;;68333;561349.09;1171952.99;2013-12-04T00:00:00
417556;593401;Nemotice;;;103250;Nemotice;;и.p.;7;;;68333;561339.09;1171970.88;2013-12-04T00:00:00
417564;593401;Nemotice;;;103250;Nemotice;;и.p.;8;;;68333;561328.92;1171990.81;2013-12-04T00:00:00
417572;593401;Nemotice;;;103250;Nemotice;;и.p.;9;;;68333;561325.71;1172005.02;2013-12-04T00:00:00
417581;593401;Nemotice;;;103250;Nemotice;;и.p.;10;;;68333;561328.62;1172064.08;2013-12-04T00:00:00
417599;593401;Nemotice;;;103250;Nemotice;;и.p.;11;;;68333;561317.60;1172088.84;2013-12-04T00:00:00
417602;593401;Nemotice;;;103250;Nemotice;;и.p.;12;;;68333;561309.36;1172127.08;2013-12-04T00:00:00
417611;593401;Nemotice;;;103250;Nemotice;;и.p.;13;;;68333;561300.21;1172153.53;2013-12-04T00:00:00
417629;593401;Nemotice;;;103250;Nemotice;;и.p.;14;;;68333;561298.15;1172163.39;2013-12-04T00:00:00
417637;593401;Nemotice;;;103250;Nemotice;;и.p.;15;;;68333;561295.79;1172195.68;2013-12-04T00:00:00
417645;593401;Nemotice;;;103250;Nemotice;;и.p.;16;;;68333;561293.53;1172216.36;2013-12-04T00:00:00
417653;593401;Nemotice;;;103250;Nemotice;;и.p.;17;;;68333;561308.63;1172227.98;2013-12-04T00:00:00
417661;593401;Nemotice;;;103250;Nemotice;;и.p.;18;;;68333;561312.39;1172183.38;2013-12-04T00:00:00
417670;593401;Nemotice;;;103250;Nemotice;;и.p.;19;;;68333;561322.93;1172023.37;2013-12-04T00:00:00
417688;593401;Nemotice;;;103250;Nemotice;;и.p.;20;;;68333;561719.96;1171671.82;2013-12-04T00:00:00
417696;593401;Nemotice;;;103250;Nemotice;;и.p.;21;;;68333;561341.25;1172093.30;2013-12-04T00:00:00
417700;593401;Nemotice;;;103250;Nemotice;;и.p.;22;;;68333;561360.68;1172060.72;2013-12-04T00:00:00
417718;593401;Nemotice;;;103250;Nemotice;;и.p.;23;;;68333;561358.42;1172002.66;2013-12-04T00:00:00
417726;593401;Nemotice;;;103250;Nemotice;;и.p.;24;;;68333;561368.35;1171981.62;2013-12-04T00:00:00
417734;593401;Nemotice;;;103250;Nemotice;;и.p.;25;;;68333;561374.88;1171957.80;2013-12-04T00:00:00
417742;593401;Nemotice;;;103250;Nemotice;;и.p.;26;;;68333;561382.54;1171946.27;2013-12-04T00:00:00
417751;593401;Nemotice;;;103250;Nemotice;;и.p.;27;;;68333;561441.21;1171929.14;2013-12-04T00:00:00
417769;593401;Nemotice;;;103250;Nemotice;;и.p.;28;;;68333;561447.75;1171944.36;2013-12-04T00:00:00
417777;593401;Nemotice;;;103250;Nemotice;;и.p.;29;;;68333;561457.96;1171954.42;2013-12-04T00:00:00
417785;593401;Nemotice;;;103250;Nemotice;;и.p.;30;;;68333;561477.54;1171978.88;2013-12-04T00:00:00
417793;593401;Nemotice;;;103250;Nemotice;;и.p.;31;;;68333;561627.16;1171612.47;2013-12-04T00:00:00
417807;593401;Nemotice;;;103250;Nemotice;;и.p.;32;;;68333;561502.50;1172001.10;2013-12-04T00:00:00
417815;593401;Nemotice;;;103250;Nemotice;;и.p.;33;;;68333;561624.15;1171877.88;2013-12-04T00:00:00
417823;593401;Nemotice;;;103250;Nemotice;;и.p.;34;;;68333;561525.74;1171982.96;2013-12-04T00:00:00
417831;593401;Nemotice;;;103250;Nemotice;;и.p.;35;;;68333;561505.58;1171956.42;2013-12-04T00:00:00
417840;593401;Nemotice;;;103250;Nemotice;;и.p.;37;;;68333;561572.57;1171833.88;2013-12-04T00:00:00
417858;593401;Nemotice;;;103250;Nemotice;;и.p.;38;;;68333;561582.24;1171824.06;2013-12-04T00:00:00
417866;593401;Nemotice;;;103250;Nemotice;;и.p.;39;;;68333;561519.93;1171755.27;2013-12-04T00:00:00
417874;593401;Nemotice;;;103250;Nemotice;;и.p.;40;;;68333;561581.09;1171794.47;2013-12-04T00:00:00
417882;593401;Nemotice;;;103250;Nemotice;;и.p.;41;;;68333;561504.75;1171846.02;2013-12-04T00:00:00
417891;593401;Nemotice;;;103250;Nemotice;;и.p.;42;;;68333;561455.85;1171882.62;2013-12-04T00:00:00
417904;593401;Nemotice;;;103250;Nemotice;;и.p.;43;;;68333;561437.25;1171859.18;2013-12-04T00:00:00
417912;593401;Nemotice;;;103250;Nemotice;;и.p.;44;;;68333;561417.12;1171814.77;2013-12-04T00:00:00
417921;593401;Nemotice;;;103250;Nemotice;;и.p.;45;;;68333;561413.18;1171806.51;2013-12-04T00:00:00
417939;593401;Nemotice;;;103250;Nemotice;;и.p.;46;;;68333;561380.69;1171830.91;2013-12-04T00:00:00
417947;593401;Nemotice;;;103250;Nemotice;;и.p.;47;;;68333;561708.28;1171686.57;2013-12-04T00:00:00
417955;593401;Nemotice;;;103250;Nemotice;;и.p.;48;;;68333;561514.36;1171759.36;2013-12-04T00:00:00
417963;593401;Nemotice;;;103250;Nemotice;;и.p.;50;;;68333;562079.98;1171249.32;2013-12-04T00:00:00
417971;593401;Nemotice;;;103250;Nemotice;;и.p.;51;;;68333;561534.56;1171772.14;2013-12-04T00:00:00
417980;593401;Nemotice;;;103250;Nemotice;;и.p.;52;;;68333;561468.39;1171966.44;2013-12-04T00:00:00
417998;593401;Nemotice;;;103250;Nemotice;;и.p.;53;;;68333;561635.07;1171826.65;2013-12-04T00:00:00
418005;593401;Nemotice;;;103250;Nemotice;;и.p.;54;;;68333;561623.85;1171801.71;2013-12-04T00:00:00
418013;593401;Nemotice;;;103250;Nemotice;;и.p.;55;;;68333;561600.05;1172021.31;2013-12-04T00:00:00
418021;593401;Nemotice;;;103250;Nemotice;;и.p.;56;;;68333;561587.45;1172038.39;2013-12-04T00:00:00
418030;593401;Nemotice;;;103250;Nemotice;;и.p.;57;;;68333;561572.43;1172057.05;2013-12-04T00:00:00
418048;593401;Nemotice;;;103250;Nemotice;;и.p.;58;;;68333;561404.47;1171846.35;2013-12-04T00:00:00
418056;593401;Nemotice;;;103250;Nemotice;;и.p.;59;;;68333;561366.86;1171801.64;2013-12-04T00:00:00
418064;593401;Nemotice;;;103250;Nemotice;;и.p.;60;;;68333;561501.90;1171945.27;2013-12-04T00:00:00
418072;593401;Nemotice;;;103250;Nemotice;;и.p.;61;;;68333;561282.74;1172241.86;2013-12-04T00:00:00
418081;593401;Nemotice;;;103250;Nemotice;;и.p.;62;;;68333;561287.41;1172229.29;2013-12-04T00:00:00
418099;593401;Nemotice;;;103250;Nemotice;;и.p.;63;;;68333;561280.74;1172286.49;2013-12-04T00:00:00
418102;593401;Nemotice;;;103250;Nemotice;;и.p.;64;;;68333;561275.69;1172293.20;2013-12-04T00:00:00
418111;593401;Nemotice;;;103250;Nemotice;;и.p.;65;;;68333;561271.72;1172313.59;2013-12-04T00:00:00
418129;593401;Nemotice;;;103250;Nemotice;;и.p.;66;;;68333;561410.45;1171933.15;2013-12-04T00:00:00
418137;593401;Nemotice;;;103250;Nemotice;;и.p.;67;;;68333;561571.27;1171985.07;2013-12-04T00:00:00
